objectid,county,city,surface,class,agency,status,seg_num,length,year_cmplt,legend,SHAPE_Length
2995,Alameda,Oakland,paved,1,Port of Oakland,Existing,4139,1.22200470356723,2005,Bay Trail (off street),0.0218251147650382
2996,Alameda,Oakland,paved,2,Oakland Public Works Agency,Existing,4143,0.404198426177537,2006,Bay Trail (on street),0.00635350324587092
2997,Contra Costa,Richmond,paved,1,Richmond Public Works Dept,Existing,5037,0.582648695935304,2006,Bay Trail (on street),0.00977414754843369
2998,Contra Costa,Pinole,paved,1,East Bay Regional Park District,Existing,5067,0.501439640750593,2018,Bay Trail (off street),0.0088648190658494
2999,Alameda,Emeryville,paved,1,Emeryville Public Works,Existing,4147,0.32186770512196,,Bay Trail (off street),0.00524420736287008
3000,Alameda,Emeryville,paved,1,Emeryville Public Works,Existing,4146,0.146940033188823,2016,Bay Trail (off street),0.00237788536828838
3001,San Mateo,S San Francisco,paved,1,SSF Planning Dept,Existing,2005,0.301448897396097,2011,Bay Trail (off street),0.00544560769444809
3002,Contra Costa,Contra Costa Co,,2,Contra Costa County Public Works,Proposed,5090,2.3291343348434,,Planned Bay Trail,0.0388595245614879
3003,Contra Costa,Contra Costa Co,,2,Contra Costa County Public Works,Proposed,5096,1.68733353275169,,Planned Bay Trail,0.0289450361354177
3004,Sonoma,Sonoma County,,2,Sonoma County Public Works,Proposed,8006,1.41185805206979,,Planned Bay Trail,0.0216735631158925
3005,Marin,San Rafael,,1,San Rafael Public Works Dept,Proposed,9030,0.446162221244721,,Planned Bay Trail,0.00742620295528701
3006,Santa Clara,San Jose,,1,San Jose PRNS,Proposed,3014,1.79938373888903,,Planned Bay Trail,0.0303658296344906
3007,Alameda,Union City,,2,Union City Public Works,Proposed,4028,2.45619616098576,,Planned Bay Trail,0.0375735444922872
3008,Alameda,Hayward,,1,Alameda County Public Works Agency,Proposed,4029,4.43263160785443,,Planned Bay Trail,0.0763760189657291
3009,Alameda,Hayward,,1,Caltrans,Proposed,4032,3.94636349844922,,Planned Bay Trail,0.0702338407225576
3010,San Mateo,San Bruno,,2,San Francisco International Airport,Proposed,2028,1.03810053772852,,Planned Bay Trail,0.0162451056940621
3011,Santa Clara,Mountain View,natural,1,U.S. Fish & WIldlife Service,Existing,3027,1.47161941902202,2010,Bay Trail (off street),0.0244724788777357
3012,Alameda,Albany,paved,1,City of Albany,Existing,4166,0.442416865564075,,Bay Trail (off street),0.00803959883306602
3013,Contra Costa,Richmond,paved,1,Richmond Public Works Dept,Existing,5052,0.385961600494566,,Bay Trail (off street),0.00560668458767662
3014,Contra Costa,Richmond,,1,Richmond Public Works Dept,Proposed,5006,0.375392587660599,,Planned Bay Trail,0.00608219786303224
3015,Solano,Vallejo,paved,1,Vallejo Public Works Department,Proposed,6034,1.05235895970283,,Planned Bay Trail,0.0180755516808014
3016,Solano,Vallejo,,1,Vallejo Public Works Department,Proposed,6036,0.947904633438321,,Planned Bay Trail,0.0162739698432434
3017,San Mateo,S San Francisco,,1,SSF Planning Dept,Proposed,2018,0.78052390525747,,Planned Bay Trail,0.0130377632391853
3018,Sonoma,Sonoma County,natural,1,Sonoma Land Trust,Existing,8011,1.30035580870226,2016,Bay Trail (off street),0.0207641082948196
3019,Sonoma,Sonoma County,,1,U.S. Fish & Wildlife Service,Proposed,8007.1,0.0895099223643691,,Planned Bay Trail,0.0015069267937053
3020,Sonoma,Sonoma County,,1,U.S. Fish & Wildlife Service,Proposed,8007,6.56655930185693,,Planned Bay Trail,0.105546062926321
3021,Contra Costa,Richmond,,1,Richmond Public Works Dept,Proposed,5038,0.272564775241477,,Planned Bay Trail,0.00474798465623438
3022,Contra Costa,Richmond,,1,Richmond Public Works Dept,Proposed,5046,1.55441110774109,,Planned Bay Trail,0.0259320307959556
3023,Contra Costa,Richmond,,1,Richmond Public Works Dept,Proposed,5036,1.25557226206835,,Planned Bay Trail,0.0204018208229955
3024,San Mateo,Redwood City,paved,1,Redwood City Public Works Dept,Existing,2074,0.831695034098282,1992,Bay Trail (off street),0.0135104803249348
3025,San Mateo,Redwood City,paved,1,Redwood City Public Works Dept,Existing,2072,0.697881538260249,1992,Bay Trail (off street),0.0104629958231474
3026,San Mateo,Redwood City,natural,1,Redwood City Public Works Dept,Existing,2070,0.53562524846607,pre-1989,Bay Trail (off street),0.00925497933197309
3027,San Mateo,Redwood City,natural,1,Redwood City Public Works Dept,Existing,2075,1.24430156743328,pre-1989,Bay Trail (off street),0.0205154620642838
3028,San Mateo,Redwood City,paved,1,Redwood City Public Works Dept,Existing,2077,1.0530653069349,pre-1989,Bay Trail (off street),0.0173419101574083
3029,San Mateo,Menlo Park,paved,1,Menlo Park Public Works Dept,Existing,2093,3.36707782640231,pre-1989,Bay Trail (off street),0.0577639808487669
3030,San Mateo,Redwood City,paved,1,Redwood City Public Works Dept,Existing,2082,1.05967968936788,pre-1989,Bay Trail (off street),0.0163939558501872
3031,Alameda,Alameda,paved,2,Alameda Public Works Department,Existing,4076,1.1753656737826,pre-1989,Bay Trail (on street),0.0181169408950045
3032,Alameda,Alameda,paved,1,Alameda Public Works Department,Existing,4113,0.502834635056738,2001,Bay Trail (off street),0.00746851458605147
3033,Alameda,Alameda,natural,1,Alameda Public Works Department,Existing,4123,0.131035319312189,pre-1989,Bay Trail (off street),0.00209183902586359
3034,Alameda,Alameda,paved,2,Alameda Public Works Department,Existing,4109,0.969297783963823,1995,Bay Trail (on street),0.0166706998826571
3035,Contra Costa,Contra Costa Co,,3,Contra Costa County Public Works,Proposed,5072,5.00093780786307,,Planned Bay Trail,0.0813572994171421
3036,Contra Costa,Richmond,paved,1,East Bay Regional Park District,Existing,5054,1.18212243735614,2017,Bay Trail (off street),0.0184063661720699
3037,Solano,Vallejo,,1,Vallejo Public Works Department,Proposed,6020,1.24291893836159,,Planned Bay Trail,0.0203462897672402
3038,Solano,Vallejo,natural,1,Vallejo Public Works Department,Existing,6015,0.180155020633297,,Bay Trail (off street),0.00284380726195156
3039,Solano,Vallejo,,1,Vallejo Public Works Department,Proposed,6043,0.28597833864618,,Planned Bay Trail,0.00478614446245074
3040,Marin,Marin County,,3,Marin County Public Works Dept,Proposed,9023,1.45957054084768,,Planned Bay Trail,0.0250120111582822
3041,Marin,Marin County,,3,Marin County Public Works Dept,Proposed,9027,2.43356109208564,,Planned Bay Trail,0.0413138686812334
3042,Marin,San Rafael,,1,San Rafael Public Works Dept,Proposed,9032,0.557944974285635,,Planned Bay Trail,0.00965917267383521
3043,Marin,Marin County,,1,Marin County Public Works Dept,Proposed,9034,1.66784058690678,,Planned Bay Trail,0.0278549803355013
3044,Marin,San Rafael,paved,1,San Rafael Public Works Dept,Existing,9040,0.0684872079745861,2019,Bay Trail (off street),0.00100756823819433
3045,Marin,San Rafael,,1,San Rafael Public Works Dept,Proposed,9043,0.19147510352674,,Planned Bay Trail,0.00323557666895367
3046,Marin,San Rafael,natural,1,San Rafael Public Works Dept,Existing,9049,0.304827655755127,,Bay Trail (off street),0.00450387750148095
3047,Marin,San Rafael,paved,1,Caltrans,Proposed,9057,1.00461551236904,,Planned Bay Trail,0.0178255087820514
3048,Marin,Marin County,paved,1,Caltrans,Existing,9066,2.57595398668258,2019,Bay Trail (off street),0.0464683675456191
3049,Marin,Tiburon,,3,Tiburon Public Works Department,Proposed,9073,1.80472188379771,,Planned Bay Trail,0.0294864118373814
3050,Marin,Marin County,,3,Marin County Public Works Dept,Proposed,9082,4.52773896231909,,Planned Bay Trail,0.0752973186752379
3051,Marin,Tiburon,,1,Tiburon Public Works Department,Proposed,9074.2,0.0818550164032645,,Planned Bay Trail,0.00146651493147825
3052,Marin,Tiburon,,2,Tiburon Public Works Department,Proposed,9074.1,0.30007153587502,,Planned Bay Trail,0.00506628308934351
3053,Marin,Marin County,,1,Marin County Public Works Dept,Proposed,9079,0.139907237059037,,Planned Bay Trail,0.0023944258538466
3054,Marin,Mill Valley,paved,1,Mill Valley Public Works Department,Proposed,9083,0.206171947574044,,Planned Bay Trail,0.00344606962467634
3055,Marin,Marin County,,1,National Park Service,Proposed,9107,0.311580595096252,,Planned Bay Trail,0.00554134648353016
3056,San Francisco,San Francisco,,2,SF Municipal Transportation Agency,Proposed,1005,0.392668826638876,,Planned Bay Trail,0.00695120089108316
3057,San Francisco,San Francisco,,1,Caltrans,Proposed,1009,2.05567081439151,,Planned Bay Trail,0.0332606353998939
3058,San Francisco,San Francisco,paved,1,SF Recreation & Parks Dept,Existing,1020,0.666461777510296,,Bay Trail (off street),0.011363405215533
3059,Alameda,Fremont,,1,Fremont Public Works Dept,Proposed,4006,3.51240029655939,,Planned Bay Trail,0.057415252699784
3060,Alameda,Newark,,1,Newark Public Works Department,Proposed,4011,2.93259260411059,,Planned Bay Trail,0.0495777591991861
3061,San Mateo,San Mateo,,1,Caltrans,Proposed,2038,4.28370386997547,,Planned Bay Trail,0.073889282505358
3062,Alameda,San Leandro,paved,1,San Leandro Public Works Dept,Existing,4049,0.176800520867001,2010,Bay Trail (off street),0.00282841810110907
3063,Alameda,Oakland,,1,Oakland Public Works Agency,Proposed,4069,0.143009752248816,,Planned Bay Trail,0.00214787694136118
3064,San Francisco,San Francisco,paved,1,SF Municipal Transportation Agency,Existing,1013,0.0610116940185348,2020,Bay Trail (on street),0.000946971446172211
3065,San Francisco,San Francisco,paved,2,SF Municipal Transportation Agency,Existing,1016,0.829794636932162,2011,Bay Trail (on street),0.0122545535592869
3066,Contra Costa,Contra Costa Co,,1,East Bay Regional Park District,Proposed,5060,1.38789978707335,,Planned Bay Trail,0.02446654004188
3067,Contra Costa,Contra Costa Co,,2,Contra Costa County Public Works,Proposed,5057,1.23546036486489,,Planned Bay Trail,0.020669903877371
3068,Contra Costa,Pinole,,2,Pinole Public Works Department,Proposed,5062,1.76451464725833,,Planned Bay Trail,0.0313960617513999
3069,San Mateo,San Carlos,,1,San Mateo County Planning Department,Proposed,2079,0.845664804994849,,Planned Bay Trail,0.0129713364099335
3070,San Mateo,Redwood City,natural,1,U.S. Fish & Wildlife Service,Existing,2083.1,0.37583754327802,2015,Bay Trail (off street),0.00679384890018892
3071,Contra Costa,Contra Costa Co,paved,2,Contra Costa County Public Works,Existing,5085,1.12659882827012,2012,Bay Trail (on street),0.0174403013306256
3072,Contra Costa,Contra Costa Co,,2,Contra Costa County Public Works,Proposed,5088,1.24334616862246,,Planned Bay Trail,0.0204875605393234
3073,Contra Costa,Contra Costa Co,,1,East Bay Regional Park District,Proposed,5086,0.483162642773695,,Planned Bay Trail,0.00823296106463505
3074,Contra Costa,Martinez,,2,Martinez Public Works Department,Proposed,5055,1.02513285066025,,Planned Bay Trail,0.0178109708697641
3075,San Francisco,San Francisco,,2,National Park Service,Proposed,1001,0.359954212829422,,Planned Bay Trail,0.00621194551435018
3076,San Francisco,San Francisco,,1,San Francisco Public Works,Proposed,1027,4.45556290621326,,Planned Bay Trail,0.0749885023379353
3077,Alameda,San Leandro,,1,San Leandro Public Works Dept,Proposed,4045,0.500530773812425,,Planned Bay Trail,0.00823053290586183
3078,Marin,San Rafael,,1,San Rafael Public Works Dept,Proposed,9055,0.274006341180832,,,0.00413219362230297
3079,San Mateo,Burlingame,,1,Burlingame Planning Dept,Proposed,2049,0.084742093140575,,Planned Bay Trail,0.00129655589651974
3080,San Francisco,San Francisco,,1,California State Parks,Proposed,1026,0.538664842985528,,Planned Bay Trail,0.0089425976456709
3081,San Francisco,San Francisco,,1,California State Parks,Proposed,1029,0.745236541535368,,Planned Bay Trail,0.0123581931299186
3082,San Francisco,San Francisco,,2,National Park Service,Proposed,1006,0.237418108075546,,Planned Bay Trail,0.00370101256867238
3083,Contra Costa,Martinez,,2,Martinez Public Works Department,Proposed,5076,0.427130876955688,,Planned Bay Trail,0.00733771515788498
3084,San Mateo,S San Francisco,paved,2,SSF Planning Dept,Existing,2019,0.289410023096358,2004,Bay Trail (off street),0.00444166099947383
3085,San Mateo,Burlingame,,1,Burlingame Planning Dept,Proposed,2039,0.0986526369568512,,Planned Bay Trail,0.00152568170228189
3086,San Mateo,Burlingame,,2,Burlingame Planning Dept,Proposed,2057,0.185783359413639,,Planned Bay Trail,0.00338617070753595
3087,San Mateo,Millbrae,,1,Millbrae Public Works Dept,Proposed,2035,0.404693621669249,,Planned Bay Trail,0.00685496605649751
3088,San Mateo,Burlingame,,1,Burlingame Planning Dept,Proposed,2040,0.0943329579233405,,Planned Bay Trail,0.00149028861266874
3089,San Mateo,Burlingame,,1,Burlingame Planning Dept,Proposed,2048,0.0253232546693565,,Planned Bay Trail,0.000401384712773693
3090,San Mateo,Burlingame,,1,Burlingame Planning Dept,Proposed,2041,0.182593800340348,,Planned Bay Trail,0.00332825059463859
3091,San Mateo,Burlingame,,1,Burlingame Planning Dept,Proposed,2051,0.080799731280911,,Planned Bay Trail,0.00117202649537108
3092,Contra Costa,Richmond,paved,1,Richmond Public Works Dept,Existing,5012,1.96533299572487,2010,Bay Trail (off street),0.0318585278452626
3093,Marin,Marin County,,2,Marin County Public Works Dept,Proposed,9093,0.314049038474075,,Planned Bay Trail,0.00532019114461498
3094,Contra Costa,Richmond,natural,1,East Bay Regional Park District,Existing,5013,0.242524020159498,,Bay Trail (off street),0.00379702722105519
3095,Contra Costa,Richmond,paved,2,Richmond Public Works Dept,Existing,5017,0.205942963853647,,Bay Trail (on street),0.00377037055891799
3096,Contra Costa,Richmond,paved,1,Richmond Public Works Dept,Existing,5008,0.300142979911602,,Bay Trail (on street),0.00439811193546139
3097,San Mateo,S San Francisco,paved,1,SSF Planning Dept,Existing,2012,0.159488066657216,pre-1989,Bay Trail (off street),0.00290695318346515
3098,San Francisco,San Francisco,paved,1,Port of San Francisco,Existing,1002,0.200572570361029,2031,Bay Trail (off street),0.00361254043612391
3099,San Mateo,Brisbane,,1,Brisbane Community Development,Proposed,2000,0.0853455156026881,,Planned Bay Trail,0.0012456252575889
3100,Contra Costa,Richmond,paved,1,East Bay Regional Park District,Existing,5058,0.18281604064958,2017,Bay Trail (off street),0.00299593518586081
3101,Alameda,Alameda,,1,Alameda Public Works Department,Proposed,4062,0.531295581319159,,Planned Bay Trail,0.00945435795267056
3102,Marin,Marin County,paved,1,Marin County Public Works Dept,Proposed,9062,0.602675031608032,,Planned Bay Trail,0.0101440676851893
3103,Sonoma,Sonoma County,natural,1,Sonoma Land Trust,Existing,8019,0.130434758547054,2007,Bay Trail (off street),0.00200640185218015
3104,Contra Costa,Richmond,paved,1,Caltrans,Existing,5031,0.570130525248192,2019,Bay Trail (off street),0.0100141862816233
3105,Alameda,Alameda,,2,Alameda Public Works Department,Proposed,4100,0.533526919769559,,Planned Bay Trail,0.00951126904989696
3106,Alameda,Alameda,,2,Alameda Public Works Department,Proposed,4080,1.45858221573332,,Planned Bay Trail,0.0255756613196006
3107,Contra Costa,Contra Costa Co,,1,East Bay Regional Park District,Proposed,5048,0.272876860358717,,Planned Bay Trail,0.00483222335860607
3108,Contra Costa,Contra Costa Co,natural,1,East Bay Regional Park District,Existing,5049,0.278371386768761,2011,Bay Trail (off street),0.00459259142244153
3109,Solano,Benicia,paved,1,Benicia Public Works Department,Existing,6010,0.149106825965165,pre-1989,Bay Trail (off street),0.0022828594232911
3110,Santa Clara,Mountain View,natural,1,U.S. Fish & Wildlife Service,Existing,3029,0.794888294501235,2010,Bay Trail (off street),0.0143519009961361
3111,Marin,Larkspur,,1,Larkspur Public Works Dept,Proposed,9065,0.241355524441742,,Planned Bay Trail,0.00361399447099461
3112,Marin,Tiburon,,3,Tiburon Public Works Department,Proposed,9095,0.532865676445993,,Planned Bay Trail,0.00872858966152163
3113,Marin,Marin County,paved,2,National Park Service,Existing,9104,0.595212334162588,2012,Bay Trail (off street),0.00929217759166691
3114,Marin,Marin County,,1,Sonoma-Marin Area Rail Transit,Proposed,9015,2.10731434564386,,Planned Bay Trail,0.0310058064856103
3115,Marin,San Rafael,,1,Sonoma-Marin Area Rail Transit,Proposed,9022,0.843021369096617,,Planned Bay Trail,0.0126940519164989
3116,San Mateo,Redwood City,,2,Redwood City Planning Dept,Proposed,2088,0.833575305921566,,Planned Bay Trail,0.014533010034645
3117,San Mateo,Redwood City,paved,1,Redwood City Public Works Dept,Existing,2087.1,0.0443334691352782,,Bay Trail (off street),0.000680253757386585
3118,San Mateo,Redwood City,paved,1,Redwood City Public Works Dept,Existing,2085.1,0.18078622504819,2011,Bay Trail (off street),0.00301931846013807
3119,Marin,Novato,paved,1,Novato Planning Department,Proposed,9005,0.682244910365735,,Planned Bay Trail,0.012092992787292
3120,Alameda,Oakland,,1,East Bay Regional Park District,Proposed,4057,0.619730876756036,,Planned Bay Trail,0.0106746508795283
3121,Marin,Marin County,,2,Marin County Public Works Dept,Proposed,9089,0.260224809433046,,Planned Bay Trail,0.00405708610671501
3122,San Francisco,San Francisco,paved,1,National Park Service,Existing,1008,0.149345215203845,2009,Bay Trail (off street),0.00260811186127267
3123,Marin,Marin County,,1,National Park Service,Proposed,9108,0.261336994980285,,Planned Bay Trail,0.00409958173232837
3124,Marin,Marin County,paved,2,National Park Service,Existing,9105,0.460237499662103,,Bay Trail (off street),0.00764289561025529
3125,Marin,Sausalito,,2,Sausalito Public Works Department,Proposed,9103,0.500817448478648,,Planned Bay Trail,0.00792853104447381
3126,Marin,Sausalito,,2,Sausalito Public Works Department,Proposed,9102,0.375717628841473,,Planned Bay Trail,0.00556192037673251
3127,Marin,Marin County,paved,2,Marin County Public Works Dept,Existing,9092,0.987115915908793,2010,Bay Trail (on street),0.0167809944531751
3128,Marin,Marin County,,2,Marin County Public Works Dept,Proposed,9086,0.890074093014381,,Planned Bay Trail,0.0137206977018187
3129,Marin,Marin County,paved,2,Marin County Public Works Dept,Proposed,9075,0.311716110055306,,Planned Bay Trail,0.00515654404461641
3130,Marin,Tiburon,,2,Tiburon Public Works Department,Proposed,9080,0.450538370135626,,Planned Bay Trail,0.00771958626086606
3131,Marin,Corte Madera,,1,Corte Madera Public Works Dept,Proposed,9123,0.21670910436504,,Planned Bay Trail,0.00353620567206806
3132,Marin,Larkspur,paved,1,Larkspur Public Works Dept,Proposed,9061,0.198760695383566,,Planned Bay Trail,0.00289712680509276
3133,Marin,San Rafael,,1,San Rafael Public Works Dept,Proposed,9038,0.730265599124348,,Planned Bay Trail,0.0130904597446181
3134,Marin,San Rafael,,1,San Rafael Public Works Dept,Proposed,9039,0.327301111913568,,Planned Bay Trail,0.00594616238788214
3135,Marin,San Rafael,paved,2,San Rafael Public Works Dept,Existing,9129,0.13979089066639,,Bay Trail (on street),0.00246216477167746
3136,Marin,San Rafael,paved,2,San Rafael Public Works Dept,Existing,9036,0.498969562653107,,Bay Trail (on street),0.00894437724624212
3137,Marin,Marin County,,2,Marin County Public Works Dept,Proposed,9044,0.254080799601633,,Planned Bay Trail,0.00461918613041607
3138,Marin,Marin County,paved,2,Marin County Public Works Dept,Existing,9037,0.554739032919799,,Bay Trail (on street),0.00919430739904746
3139,Marin,Marin County,paved,2,Marin County Public Works Dept,Existing,9127,0.703631969053044,,Bay Trail (on street),0.0115838550459791
3140,Marin,Novato,,1,Caltrans,Proposed,9000,0.157314172662172,,Planned Bay Trail,0.00260449072455922
3141,Sonoma,Sonoma County,natural,1,Port Sonoma Marina,Existing,8018,0.742737383493126,2010,Bay Trail (off street),0.0118974375069107
3142,Contra Costa,Contra Costa Co,natural,1,East Bay Regional Park District,Existing,5043,0.199911555509696,2011,Bay Trail (off street),0.00291595022797201
3143,Contra Costa,Contra Costa Co,natural,1,East Bay Regional Park District,Existing,5045,0.324097451176992,2011,Bay Trail (off street),0.00480843375323915
3144,Napa,American Canyon,,1,American Canyon Community Svcs,Proposed,7005,0.29878208736677,,Planned Bay Trail,0.00534274481328921
3145,Alameda,Berkeley,paved,1,Berkeley Public Works Department,Existing,4161,0.554968221327009,1993,Bay Trail (off street),0.00822074764043632
3146,Solano,Benicia,paved,2,Benicia Public Works Department,Existing,6008,0.233852773272951,2012,Bay Trail (on street),0.00376961492951536
3147,Solano,Benicia,paved,2,Benicia Public Works Department,Existing,6008.1,0.0611931504499721,,Bay Trail (on street),0.00108640924064384
3148,Contra Costa,Richmond,paved,1,Richmond Public Works Dept,Existing,5002,0.135980281830475,,Bay Trail (off street),0.00233634993095543
3149,Contra Costa,Richmond,paved,1,East Bay Regional Park District,Existing,5000,0.553334290425868,1999,Bay Trail (off street),0.00915611808969902
3150,Contra Costa,Richmond,paved,1,East Bay Regional Park District,Existing,5004,0.323832279611165,,Bay Trail (off street),0.00507397245439163
3151,Contra Costa,Richmond,paved,1,East Bay Regional Park District,Existing,5003,0.565737605721559,,Bay Trail (off street),0.00946119839412492
3152,Contra Costa,Richmond,paved,1,Richmond Public Works Dept,Existing,5011,1.69990643092591,pre-1989,Bay Trail (off street),0.0293705717911847
3153,Contra Costa,Richmond,paved,1,Richmond Public Works Dept,Existing,5019,1.23799445410046,pre-1989,Bay Trail (off street),0.0198909541412787
3154,Contra Costa,Richmond,paved,1,Richmond Public Works Dept,Existing,5007,0.668225532856997,,Bay Trail (off street),0.01127179885139
3155,Contra Costa,Richmond,paved,1,Richmond Public Works Dept,Existing,5020,0.150261494775527,,Bay Trail (off street),0.0026386380443874
3156,Contra Costa,Richmond,paved,1,Richmond Public Works Dept,Existing,5009,0.337385788975786,,Bay Trail (off street),0.00607990368788368
3157,Contra Costa,Richmond,paved,1,East Bay Regional Park District,Existing,5023,0.436225779056749,pre-1989,Bay Trail (off street),0.00672012493636448
3158,San Mateo,Burlingame,paved,1,Burlingame Planning Dept,Existing,2054,0.25232142425459,pre-1989,Bay Trail (off street),0.00369429013114321
3159,San Mateo,Burlingame,paved,1,Burlingame Planning Dept,Existing,2045,0.0369018401569135,pre-1989,Bay Trail (off street),0.000672657709838042
3160,San Mateo,Burlingame,paved,1,Burlingame Planning Dept,Existing,2053,0.169845916527474,pre-1989,Bay Trail (off street),0.00246376838156887
3161,San Mateo,Burlingame,paved,1,Burlingame Planning Dept,Existing,2050,0.112058565332703,pre-1989,Bay Trail (off street),0.00195787645877895
